Date,Electricity_Fire,Electricity_Nonfire
04-2005,203173.137,85405.821
05-2005,216689.187,97326.461
06-2005,262435.489,100148.745
07-2005,297104.292,103966.831
08-2005,304059.738,99560.233
09-2005,258436.124,90716.423
10-2005,229635.712,85812.792
11-2005,216070.385,89033.283
12-2005,246053.24,100954.05
01-2006,220335.847,107250.341
02-2006,212062.379,94304.837
03-2006,221493.834,96109.339
04-2006,203387.267,93395.5
05-2006,228310.691,101185.437
06-2006,257687.201,105508.047
07-2006,304183.748,105109.565
08-2006,305697.883,100943.508
09-2006,240061.959,90935.241
10-2006,238107.7,82352.181
11-2006,218690.674,89415.866
12-2006,235275.946,99922.836
01-2007,244362.257,108146.926
02-2007,231089.963,91221.331
03-2007,222664.429,96788.914
04-2007,212645.771,89511.164
05-2007,230030.998,99145.564
06-2007,261955.071,99765.904
07-2007,289184.386,102992.84
08-2007,319791.514,100935.463
09-2007,263978.409,90420.307
10-2007,246472.803,85087.309
11-2007,224186.933,88948.364
12-2007,245875.175,99311.802
01-2008,261036.392,101010.946
02-2008,231350.043,92816.903
03-2008,227114.775,96535.521
04-2008,214450.815,90405.949
05-2008,221628.267,102560.02
06-2008,261757.412,110270.012
07-2008,292385.334,109407.486
08-2008,285207.759,102712.828
09-2008,245486.325,91638.356
10-2008,229216.262,88440.421
11-2008,219801.509,89369.37
12-2008,237296.44,105684.95
01-2009,245225.612,108830.67
02-2009,207156.357,92856.497
03-2009,207916.847,101702.568
04-2009,190658.144,97891.939
05-2009,203800.088,106470.752
06-2009,236410.772,110209.204
07-2009,264451.782,107029.547
08-2009,277153.678,103003.381
09-2009,233146.567,93286.884
10-2009,216078.204,89994.946
11-2009,203077.423,92557.452
12-2009,241376.083,108117.2
01-2010,252750.488,107192.436
02-2010,222440.493,96385.082
03-2010,211316.18,99849.416
04-2010,194824.886,91979.687
05-2010,220949.166,105927.659
06-2010,262713.456,111892.632
07-2010,299599.155,108980.272
08-2010,303532.96,104193.134
09-2010,245486.223,99442.527
10-2010,213043.664,93787.186
11-2010,207398.185,97532.05
12-2010,249306.458,111681.162
01-2011,249443.909,112356.699
02-2011,207476.775,104623.223
03-2011,204430.158,113097.389
04-2011,197858.569,103401.287
05-2011,215597.477,106820.831
06-2011,252352.828,114138.382
07-2011,300461.521,116922.268
08-2011,294817.783,110463.353
09-2011,236108.575,100690.902
10-2011,208449.322,99073.616
11-2011,199629.466,103286.084
12-2011,222240.996,112245.913
01-2012,223345.631,115045.701
02-2012,207427.807,100889.759
03-2012,200393.826,107556.73
04-2012,193674.485,100463.178
05-2012,226066.411,109251.301
06-2012,249898.646,109761.674
07-2012,302694.838,110726.415
08-2012,287084.841,107437.21
09-2012,236364.776,97085.38
10-2012,215424.792,95090.51
11-2012,211581.883,93253.363
12-2012,221066.309,112392.727
01-2013,230582.187,117287.627
02-2013,206795.191,101912.657
03-2013,218425.908,105829.72
04-2013,192776.304,105532.643
05-2013,206827.62,114218.472
06-2013,241287.881,114409.768
07-2013,277598.393,116046.148
08-2013,274174.015,109895.091
